time_1,time_2,time_3,time_4,temp_1,temp_2,temp_3,temp_4,Cold Object
1290.0,15.0,30.0,45.0,52.6,52.7,52.9,53.2,Water
2150.0,8.0,16.0,24.0,46.69,46.8,46.9,46.9,CoolDrink
1400.0,13.0,26.0,39.0,62.66,63.09,63.61,63.75,ICECREAM
1050.0,17.0,34.0,51.0,44.16,45.03,45.06,45.19,CoolDrink
3400.0,12.0,24.0,36.0,54.0,54.01,54.07,54.29,FruitJuice
610.0,18.0,36.0,54.0,73.9,74.25,75.26,75.49,Medicine
1750.0,16.0,32.0,48.0,72.42,72.64,72.9,73.3,ICECREAM
2890.0,5.0,10.0,15.0,73.2,73.6,73.6,72.8,Water
2230.0,7.0,14.0,21.0,47.52,47.62,47.62,47.73,CoolDrink
1820.0,13.0,26.0,39.0,59.2,59.2,59.5,59.8,Water
550.0,19.0,38.0,57.0,21.49,21.64,21.72,22.0,FruitJuice
2190.0,15.0,30.0,45.0,48.1,47.2,47.7,48.7,Water
1300.0,17.0,34.0,51.0,24.94,25.19,25.26,25.385,ICECREAM
110.0,13.0,26.0,39.0,12.78,12.79,13.44,13.88,FruitJuice
2310.0,12.0,24.0,36.0,86.53,86.75,87.13,87.64,Aluminium
660.0,7.0,14.0,21.0,42.4,42.3,42.3,42.6,Water
2470.0,14.0,28.0,42.0,67.2,67.2,67.3,67.9,Water
1700.0,7.0,14.0,21.0,58.1,58.1,58.1,58.1,Water
2010.0,14.0,28.0,42.0,32.705,32.795,33.03,33.12,ICECREAM
2750.0,19.0,38.0,57.0,75.43,75.79,76.17,76.38,Meat
2470.0,13.0,26.0,39.0,67.2,67.2,67.3,67.9,Water
2740.0,7.0,14.0,21.0,89.06,89.13,89.13,89.23,Copper
2250.0,16.0,32.0,48.0,85.45,85.86,85.99,86.31,Aluminium
530.0,14.0,28.0,42.0,71.49,71.95,72.75,72.97,Medicine
720.0,17.0,34.0,51.0,38.17,38.45,38.59,39.08,CoolDrink
1030.0,5.0,10.0,15.0,41.76,42.28,42.28,42.6,Apple
2110.0,18.0,36.0,54.0,84.5,84.67,84.7,84.86,Aluminium
1360.0,5.0,10.0,15.0,77.88,77.88,77.9,77.9,Aluminium
1140.0,12.0,24.0,36.0,23.45,23.48,23.725,23.93,ICECREAM
1350.0,13.0,26.0,39.0,58.35,58.38,58.71,58.78,Meat
2940.0,10.0,20.0,30.0,78.22,78.43,78.5,78.52,Meat
2430.0,9.0,18.0,27.0,83.13,83.22,83.61,83.74,Iron
460.0,12.0,24.0,36.0,68.92,69.29,69.96,70.57,Medicine
1710.0,20.0,40.0,60.0,55.65,55.74,56.39,56.94,CoolDrink
2910.0,16.0,32.0,48.0,90.23,90.31,90.41,90.46,Copper
550.0,17.0,34.0,51.0,33.93,34.75,35.0,35.28,CoolDrink
990.0,7.0,14.0,21.0,43.8,43.5,43.5,43.6,Water
1940.0,17.0,34.0,51.0,32.035,32.215,32.24,32.39,ICECREAM
1020.0,10.0,20.0,30.0,28.63,29.04,29.07,29.09,FruitJuice
2600.0,20.0,40.0,60.0,73.44,73.63,73.74,74.03,Meat
2790.0,12.0,24.0,36.0,64.1,64.3,64.5,64.9,Water
2060.0,15.0,30.0,45.0,46.5,46.9,47.7,47.5,Water
3170.0,13.0,26.0,39.0,67.52,68.1,68.68,68.84,FruitJuice
2960.0,5.0,10.0,15.0,67.6,67.8,67.8,68.0,Water
3360.0,15.0,30.0,45.0,53.12,53.86,53.9,54.01,FruitJuice
1390.0,9.0,18.0,27.0,36.66,36.83,36.88,37.07,FruitJuice
1370.0,10.0,20.0,30.0,58.4,58.71,58.78,59.04,Meat
870.0,20.0,40.0,60.0,81.15,81.53,83.33,84.2,Medicine
710.0,5.0,10.0,15.0,49.95,49.95,50.15,50.15,Meat
640.0,5.0,10.0,15.0,31.09,31.09,31.19,31.19,CoolDrink
510.0,8.0,16.0,24.0,65.27,65.64,65.72,65.72,Copper
2000.0,7.0,14.0,21.0,35.44,35.58,35.58,35.72,FruitJuice
1300.0,9.0,18.0,27.0,58.8,58.93,59.13,59.23,ICECREAM
450.0,20.0,40.0,60.0,31.99,33.02,33.46,34.24,ICECREAM
630.0,13.0,26.0,39.0,63.71,63.81,64.11,64.2,Iron
90.0,16.0,32.0,48.0,55.95,57.08,58.16,58.78,Medicine
2850.0,12.0,24.0,36.0,89.78,89.91,89.93,90.05,Copper
1100.0,19.0,38.0,57.0,54.98,55.1,55.39,55.55,Meat
3200.0,13.0,26.0,39.0,68.68,68.84,69.33,69.67,FruitJuice
2310.0,18.0,36.0,54.0,70.14,70.2,70.53,70.59,Meat
1420.0,6.0,12.0,18.0,39.15,39.25,39.25,39.36,CoolDrink
70.0,12.0,24.0,36.0,25.34,25.49,25.5,25.72,CoolDrink
1210.0,18.0,36.0,54.0,24.225,24.32,24.51,24.535,ICECREAM
1650.0,17.0,34.0,51.0,41.53,41.73,41.84,42.04,CoolDrink
810.0,12.0,24.0,36.0,65.93,66.0,66.07,66.28,Iron
600.0,14.0,28.0,42.0,66.69,66.94,67.36,67.53,Copper
2100.0,6.0,12.0,18.0,84.46,84.5,84.5,84.65,Aluminium
1020.0,16.0,32.0,48.0,73.96,74.1,74.18,74.51,Aluminium
2070.0,8.0,16.0,24.0,63.84,63.91,63.98,63.98,CoolDrink
820.0,13.0,26.0,39.0,79.58,79.66,80.98,81.12,Medicine
510.0,7.0,14.0,21.0,70.64,70.84,70.84,71.49,Medicine
1210.0,16.0,32.0,48.0,36.98,37.19,37.29,37.5,CoolDrink
1700.0,15.0,30.0,45.0,58.1,58.1,58.3,58.4,Water
